COD_DANE,Total_Viviendas,Casas,Casas_indigenas,Apartamento,Tipo_Cuarto,Electrica_SI,Electrica_NO,GasNatural_SI,GasNatur_NO,Alcantarillado_SI,Alcantarillado_NO,Acueducto_SI,Acueducto_NO,Total_Hogares,Total_Personas,HOMBRE,MUJER,Preescolar,Primaria,Secundaria,Especializacion,Ninguna_Educacion,No_responde
7300110000000000330104,34,33,,1,0,33,0,29,4,33,0,33,0,34,130,61,69,1,21,22,7,2,77
7300110000000000590318,37,31,,3,1,31,4,11,24,31,4,34,1,35,146,72,74,2,80,15,0,24,25
7300110000000000590414,26,14,,12,0,24,0,19,5,24,0,24,0,25,100,47,53,3,32,13,0,5,47
7300110000000000590411,39,25,,12,2,36,1,25,12,36,1,36,1,38,128,53,75,2,29,32,1,5,59
7300110000000000580416,24,20,,2,2,22,0,14,8,22,0,22,0,22,74,35,39,2,21,25,0,5,21
7300110000000000590125,12,9,,2,1,12,0,10,2,12,0,12,0,12,58,25,33,0,18,13,0,10,17
7300110000000000331130,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000140122,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000560139,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000330252,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000330336,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000560109,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000140916,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000730112,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000130215,16,15,,1,0,15,0,14,1,15,0,15,0,15,54,26,28,0,11,13,0,1,29
7300110000000000560803,35,34,,1,0,34,0,29,5,34,0,34,0,37,133,61,72,1,21,27,3,1,80
7300110000000000590714,10,8,,1,1,10,0,7,3,10,0,10,0,12,45,24,21,3,19,8,0,4,11
7300110000000000330222,17,6,,4,1,9,6,4,11,9,6,14,1,15,62,22,40,3,25,8,0,6,20
7300110000000000580413,24,24,,0,0,23,0,20,2,23,0,23,0,23,81,31,50,4,22,24,1,2,28
7300110000000000331124,29,23,,6,0,27,0,23,4,27,0,27,0,27,95,43,52,1,17,15,2,4,56
7300110000000000330409,37,20,,17,0,37,0,30,7,36,1,37,0,44,158,70,88,3,37,51,0,17,50
7300110000000000330809,22,17,,5,0,21,0,16,5,21,0,21,0,21,97,49,48,5,33,21,1,6,31
7300110000000000330330,31,14,,14,3,30,0,19,11,30,0,30,0,30,111,50,61,2,29,24,0,8,48
7300110000000000330807,31,23,,8,0,30,0,24,6,30,0,30,0,35,128,67,61,5,35,28,3,18,39
7300110000000000730233,59,28,,29,2,53,0,33,20,53,0,53,0,54,176,93,83,5,62,62,0,18,29
7300110000000000590608,18,17,,1,0,15,1,10,6,16,0,16,0,16,55,25,30,3,20,11,0,2,19
7300110000000000590120,34,29,,4,1,33,0,24,8,33,0,33,0,33,135,67,68,3,53,36,0,16,27
7300110000000000560820,39,34,,5,0,37,0,33,4,37,0,37,0,37,134,63,71,3,30,27,0,3,71
7300110000000000730126,100,56,,44,0,98,0,87,9,98,0,98,0,100,327,157,170,5,63,62,4,18,175
7300110000000000590118,27,26,,0,1,27,0,24,3,27,0,27,0,32,149,78,71,6,73,25,0,17,28
7300110000000000730104,7,0,,3,4,7,0,2,5,7,0,7,0,7,25,17,8,2,9,7,0,4,3
7300110000000000330312,50,50,,0,0,46,1,41,6,46,1,46,1,50,151,65,86,7,27,19,6,1,91
7300110000000000140412,13,9,,3,1,13,0,11,2,13,0,13,0,13,49,24,25,0,12,4,2,2,29
7300110000000000530113,25,17,,8,0,25,0,16,9,25,0,25,0,25,80,38,42,3,22,16,1,4,34
7300110000000000330331,27,20,,6,1,27,0,22,5,27,0,27,0,27,102,55,47,7,31,20,0,5,39
7300110000000000140309,39,27,,11,1,38,0,30,8,38,0,38,0,41,133,57,76,4,32,28,2,5,62
7300110000000000730118,5,3,,2,0,5,0,4,1,5,0,5,0,5,16,7,9,0,5,4,0,1,6
7300110000000000330411,100,85,,13,2,99,0,80,19,99,0,99,0,107,396,170,226,10,109,90,1,22,164
7300110000000000590222,37,28,,8,1,35,0,34,1,35,0,35,0,36,133,61,72,3,43,30,0,5,52
7300110000000000140306,28,14,,12,2,27,0,22,5,27,0,27,0,27,86,35,51,2,21,20,2,6,35
7300110000000000140301,21,18,,3,0,21,0,19,2,21,0,21,0,23,84,35,49,1,21,18,1,1,42
7300110000000000140302,18,11,,7,0,18,0,14,4,18,0,18,0,18,71,37,34,3,22,10,1,1,34
7300110000000000560823,35,34,,1,0,35,0,29,6,35,0,35,0,35,134,65,69,3,33,22,4,5,67
7300110000000000590406,42,40,,2,0,41,0,34,7,41,0,41,0,41,173,84,89,3,49,36,0,17,68
7300110000000000590723,21,21,,0,0,20,0,17,3,20,0,20,0,26,89,37,52,4,18,18,1,4,44
7300110000000000580101,26,25,,1,0,26,0,20,6,26,0,26,0,27,104,52,52,1,31,21,1,3,47
7300110000000000330124,27,17,,7,3,27,0,20,7,27,0,27,0,31,129,64,65,5,50,34,0,10,30
7300110000000000580318,20,19,,1,0,19,0,19,0,19,0,19,0,21,90,43,47,1,30,15,2,4,38
7300110000000000590211,59,56,,3,0,57,0,12,0,57,0,57,0,57,185,89,96,0,19,99,0,5,62
7300110000000000590221,40,33,,7,0,40,0,36,4,40,0,40,0,46,164,78,86,4,47,31,0,17,65
7300110000000000331120,79,76,,3,0,79,0,74,5,79,0,79,0,80,276,120,156,6,42,42,13,4,169
7300110000000000140428,5,2,,3,0,5,0,5,0,5,0,5,0,5,23,13,10,1,5,2,0,0,15
7300110000000000140411,19,5,,14,0,19,0,11,8,19,0,19,0,19,57,22,35,2,12,9,0,3,31
7300110000000000330248,18,15,,1,2,15,0,12,3,15,0,15,0,15,57,26,31,3,13,13,0,1,27
7300110000000000140308,15,9,,6,0,15,0,13,2,15,0,15,0,15,58,27,31,1,10,10,1,3,33
7300110000000000530430,3,0,,1,2,3,0,1,2,3,0,3,0,3,6,2,4,1,0,0,0,0,5
7300110000000000590726,24,24,,0,0,24,0,19,5,24,0,24,0,25,95,45,50,3,28,17,0,4,43
7300110000000000580407,23,21,,1,1,23,0,21,2,23,0,23,0,23,87,39,48,1,44,10,0,10,22
