COD_DANE_A,VERSION,AREA,Casa_indigena,Total_Viviendas,Casa,Apartamento,Tipo_Cuarto,Electrica_SI,Electrica_NO,Acueducto_SI,Acueducto_NO,Alcantarillado_SI,Alcantarillado_NO,GasNatural_SI,GasNatural_SI,Total_Personas,HOMBRE,MUJER,Preescolar,Primaria,Secundaria,Especializacion,Ninguno,Ninguno,No_responde
7300110000000000560138,2018,859.013591,0,12,6,6,0,24,0,12,0,12,0,12,0,36,15,21,19,0,5,0,0,2,29
7300110000000000560139,2018,117632.289214,0,13,3,0,10,26,0,13,0,13,0,13,0,19,15,4,0,0,0,0,0,0,19
7300110000000000560140,2018,1147.894309,0,29,15,14,0,50,0,25,0,25,0,25,0,78,36,42,11,0,18,0,0,0,60
7300110000000000560141,2018,1716.067145,0,23,21,2,0,40,0,20,0,20,0,20,0,71,33,38,0,0,17,0,1,0,53
7300110000000000560142,2018,2172.849802,0,13,5,7,1,24,0,12,0,12,0,11,1,38,17,21,7,0,3,0,0,0,35
7300110000000000560143,2018,5903.738249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000560145,2018,375443.335396,0,5,2,1,2,9,2,5,0,5,0,2,3,10,6,4,0,0,0,0,1,1,8
7300110000000000560146,2018,6292.196062,0,46,46,0,0,76,0,38,0,38,0,34,1,105,49,56,19,0,47,7,0,2,49
7300110000000000560147,2018,41693.366065,0,19,19,0,0,34,0,15,2,2,15,2,14,49,21,28,14,0,0,0,3,1,45
7300110000000000560148,2018,16567.624433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000560149,2018,839.343037,0,10,3,6,0,20,0,10,0,10,0,9,1,38,15,23,8,0,0,0,4,0,34
7300110000000000560150,2018,689.337146,0,11,5,6,0,20,0,10,0,10,0,9,1,26,12,14,8,0,0,0,0,0,26
7300110000000000560151,2018,604.301824,0,9,4,4,1,18,0,9,0,9,0,7,2,33,14,19,0,0,0,0,4,0,29
7300110000000000560152,2018,958.446812,0,25,21,4,0,38,0,19,0,19,0,19,0,46,22,24,0,19,20,0,0,1,6
7300110000000000560153,2018,728.502016,0,15,12,3,0,26,0,13,0,13,0,13,0,48,23,25,0,0,15,0,1,1,31
7300110000000000560154,2018,592.998656,0,12,9,3,0,24,0,12,0,12,0,12,0,42,15,27,10,0,10,0,0,1,31
7300110000000000560155,2018,575.668705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000560156,2018,1223.643811,0,31,26,5,0,44,0,22,0,21,1,21,1,64,28,36,0,0,0,0,0,0,64
7300110000000000560157,2018,798.986449,0,21,21,0,0,34,0,17,0,17,0,17,0,47,24,23,6,0,15,0,0,1,31
7300110000000000560158,2018,670.059695,0,15,15,0,0,28,1,14,0,14,0,14,0,44,20,24,0,0,18,0,0,2,24
7300110000000000560159,2018,1152.804207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000560160,2018,602.920994,0,13,13,0,0,22,0,11,0,11,0,11,0,31,13,18,0,0,0,0,0,0,31
7300110000000000560161,2018,1190.201890,0,29,28,1,0,42,0,21,0,21,0,21,0,72,28,44,11,0,17,0,0,0,55
7300110000000000560162,2018,1375.383316,0,31,30,1,0,54,0,27,0,27,0,25,0,81,29,52,17,0,25,0,0,0,56
7300110000000000560163,2018,473.613608,0,10,10,0,0,18,0,9,0,9,0,9,0,28,12,16,0,17,4,0,0,0,7
7300110000000000560164,2018,1188.252400,0,15,12,3,0,28,0,14,0,14,0,14,0,46,19,27,13,0,9,0,2,1,34
7300110000000000560165,2018,665.616447,0,21,12,8,1,32,0,16,0,16,0,15,0,50,26,24,0,0,7,0,0,3,40
7300110000000000560166,2018,1228.805411,0,24,13,9,2,42,0,21,0,21,0,20,1,70,32,38,0,0,14,0,1,0,55
7300110000000000560167,2018,522.062357,0,14,8,6,0,24,0,12,0,12,0,12,0,41,19,22,0,0,8,0,0,0,33
